REGIONS_DISTRICTS,HOMICIDES,ECONOMIC_CRIMES,SEX_RELATED_OFFENCES,CHILD_RELATED_OFFENCES
C.I.D Headquarters,3,491,13,4
S.I.D,2,49,1,
Aviation Police,1,47,7,
C.I.D,5,588,21,4
Jinja Road,20,320,116,9
Kira Division,24,178,105,22
Kira Road,30,171,94,46
Mukono,36,283,176,41
Nagalama,19,54,76,10
KMP EAST,129,1007,567,127
CPS Kampala,14,632,10,3
Katwe,58,287,231,468
Kabalagala,24,193,125,20
Kajjansi,13,108,53,16
Entebbe,18,125,80,11
Nsangi,24,68,73,29
KMP SOUTH,150,1414,573,548
Old Kampala,28,298,81,77
Wakiso,30,153,98,22
Wandegeya,6,176,33,189
Kawempe,26,152,129,43
Nansana,18,122,144,10
Kakiri,4,43,45,1
Kasangati,27,167,153,88
KMP NORTH,139,1112,683,429
Luwero,68,236,221,144
Nakaseke,60,78,125,91
Nakasongola,45,66,118,52
SAVANNAH,174,380,463,287
Buikwe,36,45,81,108
Kayunga,37,90,129,152
Njeru,56,36,134,51
Buvuma,15,27,39,2
SEZIBWA,144,198,383,313
Butambala,12,124,90,68
Gomba,22,153,108,106
Mpigi,39,239,202,111
KATONGA,74,516,400,285
Kiboga,24,44,70,9
Mubende,84,185,219,26
Kassanda,19,69,66,2
Mityana,28,80,111,15
Kyankwanzi,24,57,85,64
WAMALA,179,436,552,115
Rakai,32,20,112,13
Lyantonde,19,40,46,63
Masaka,62,182,159,125
Kyotera,22,9,99,18
Sembabule,60,131,211,242
Bukomansimbi,8,81,112,23
Kalungu,14,47,110,10
Lwengo,59,23,73,52
Kalangala,36,107,68,44
GREATER MASAKA,311,640,990,590
Kisoro,40,68,57,11
Kabale,45,187,68,106
Rukiga,23,135,44,31
Rubanda,26,93,61,45
Kanungu,41,109,113,92
Rukungiri,44,29,70,9
KIGEZI,219,621,414,293
Mbarara,138,263,188,200
Ibanda,49,65,85,136
Ntungamo,96,170,161,99
Kiruhura,20,97,145,29
Isingiro,66,58,150,51
RWIZI,368,654,729,515
Bushenyi,51,115,83,96
Mitooma,22,117,65,19
Rubirizi,26,58,82,10
Buhweju,17,15,38,29
Rwizi Hqtrs,1,8,2,
Sheema,35,48,42,44
GREATER BUSHENYI,152,362,314,197
Masindi,33,60,94,152
Kiryandongo,79,81,187,173
Kibaale,28,113,148,101
Kakumiro,33,42,100,5
Kagadi,39,92,109,6
Kikuube,24,29,81,17
Hoima,46,114,136,5
Buliisa,14,29,81,59
ALBERTINE,296,560,937,518
Kabarole,39,73,111,10
Kyegegwa,43,34,88,322
Bunyagabu,16,16,49,2
Kamwenge,47,34,155,66
Bundibugyo,25,28,33,6
Kyenjojo,39,61,166,46
Ntoroko,2,7,37,1
RWENZORI WEST,212,254,639,452
Hima,19,9,35,13
Katwe,9,8,12,6
Kasese,37,45,53,339
Bwera,40,33,107,
RWENZORI EAST,105,96,207,357
Arua,106,371,338,226
Maracha,12,36,54,43
Zombo,11,172,87,39
Nebbi,30,105,56,22
Pakwach,7,56,63,43
Koboko,28,87,122,66
WEST NILE,193,827,721,438
Yumbe,17,17,101,97
Moyo,23,23,107,85
Adjumani,19,22,116,70
NORTH  WEST NILE,59,62,324,252
Lamwo,26,3,128,42
Agago,26,83,101,128
Nwoya,27,21,124,28
Amuru,37,100,68,60
Omoro,39,63,247,201
Kitgum,29,26,81,17
Pader,22,12,136,57
Gulu,51,139,198,367
ASWA,257,447,1083,900
Lira,79,640,445,559
Apac,33,44,111,50
Oyam,39,38,157,214
Kwania,8,16,45,82
Amolatar,9,39,139,14
Kole,32,25,75,37
Alebtong,16,32,92,37
Otuke,3,20,86,82
Dokolo,26,90,192,114
NORTH KYOGA,243,946,1343,1190
Abim,12,44,69,46
Kotido,17,28,57,52
Kaabong,19,23,43,74
KIDEPO,47,96,170,172
Nakapiripirit,17,50,43,35
Amudat,5,33,76,27
Napak,22,53,79,47
Nabilatuk,5,7,10,12
Moroto,15,27,54,94
MT MOROTO,64,171,263,215
Soroti,20,74,140,3
Kapelebyong,7,11,53,8
Kabermaido,18,8,70,67
Katakwi,16,11,88,10
Ngora,14,100,166,152
Serere,22,102,270,69
Amuria,11,22,140,50
Bukedea,15,23,70,67
Kumi,20,99,183,7
EAST KYOGA,143,449,1181,434
Kapchorwa,24,251,203,86
Kween,7,88,71,8
Bukwo,18,32,92,39
SIPI,49,371,367,133
Mbale,54,269,411,290
Namisindwa,14,32,180,19
Manafwa,6,49,138,73
Bududa,10,93,208,106
Sironko,15,27,187,54
Bulambuli,22,133,191,111
ELGON,121,603,1314,653
Butaleja,34,165,207,133
Tororo,79,147,217,226
Butebo,7,39,78,61
Budaka,10,79,117,66
Busia,64,100,183,296
Kibuku,22,222,209,115
Pallisa,13,140,188,110
BUKEDI,229,891,1199,1008
Kamuli,55,247,294,71
Kaliro,12,181,88,80
Buyende,19,225,195,20
Luuka,18,35,67,39
BUSOGA NORTH,103,688,645,210
Iganga,56,115,125,85
Bugiri,45,78,168,143
Mayuge,63,85,282,40
Namutumba,24,62,101,56
Idudi,6,10,26,5
Namayingo,33,13,70,185
BUSOGA EAST,228,363,773,513
Jinja,55,269,138,362
Buwenge,20,58,84,31
Kakira,27,21,46,48
KIIRA,102,348,268,442
